Restaurant Name,Rating,Cuisine,Average Cost for Two,City,Address,Latitude,Longitude
Sugar Dribble,4.9,"Cafe, Continental, Fast Food, Beverages",₹800 for two,Ooty,"Thalayathimund, Ooty",11.4122554862,76.7090414464
Kailash Parbat,4.2,"North Indian, South Indian, Chinese, Street Food, Sandwich, Fast Food, Sichuan","₹1,000 for two",Ooty,"Elk Hill, Ooty",11.4104033000,76.7072559000
Le Cafe,3.5,"Cafe, Bakery",₹500 for two,Ooty,"Kandal, Ooty",11.4130057702,76.7022488651
Angaara,4.9,"Arabian, Chinese, Continental, South Indian, Pasta","₹1,000 for two",Ooty,"Elk Hill, Ooty",11.4077230746,76.7067622393
The Culinarium,4.3,"Continental, Fast Food, Chinese, Desserts, Beverages","₹1,200 for two",Ooty,"Fern Hill, Ooty",11.3785554000,76.7448346000
Toda Cafe,4.9,"Continental, Italian, North Indian, South Indian","₹1,200 for two",Ooty,"Hotel Gem Park, Marlimund, Ooty",11.4206023486,76.7041534558
A2B - Adyar Ananda Bhavan,3.7,"South Indian, North Indian, Chinese, Fast Food, Street Food, Desserts, Beverages",₹600 for two,Ooty,"Elk Hill, Ooty",11.4109198603,76.7074633017
Sree Lakshmi Illam,3.9,"South Indian, North Indian",₹400 for two,Ooty,"Elk Hill, Ooty",11.4075398000,76.7041191000
Malaka Spice,3.9,"Asian, Chinese, Thai","₹1,500 for two",Nashik,"Veer Sawarkar Nagar, Nashik",20.0188474988,73.7313289591
Asian Wok And Grill,4.7,"Asian, Chinese, Seafood, Tibetan, Thai, Korean, Desserts, Sichuan",₹850 for two,Nashik,"Anand Wali Goan, Nashik",20.0122450000,73.7520080000
Majhali Fine - Dine Seafood Restaurant,3.8,"North Indian, Seafood, Chinese, Biryani, Continental, Desserts","₹1,200 for two",Nashik,"College Road, Nashik",20.0067219972,73.7574863434
HOG - Courtyard by Marriott,4.5,"North Indian, Modern Indian, Continental, Italian, Asian","₹1,200 for two",Nashik,"Mumbai Naka, Nashik",19.9904587763,73.7896524540
Bakes N Brews - Courtyard by Marriott,3.9,"North Indian, Cafe, Coffee, Healthy Food, Fast Food, Pasta, Desserts, Beverages",₹800 for two,Nashik,"Mumbai Naka, Nashik",19.9904010729,73.7893883676
Le Cafetino,4.4,"Cafe, Coffee, Pizza, Fast Food, Desserts, Shake, Beverages",₹500 for two,Nashik,"SSK Solitaire, Satpur, Nashik",19.9911269089,73.7759821862
GPS 99 Restaurant,4.2,"South Indian, Chinese, North Indian, Street Food, Biryani, Kebab, Sichuan",₹450 for two,Nashik,"Nashik Road, Nashik",19.9687701741,73.7998699397
Strato - Courtyard By Marriott,4.4,"North Indian, Bar Food, Kebab, Continental, Rolls, Pizza","₹2,000 for two",Nashik,"Mumbai Naka, Nashik",19.9904587763,73.7896524540
Chai Pyala,3.6,"Tea, Coffee, Shake, Beverages, Pizza, Street Food, Fast Food, Sandwich",₹350 for two,Nashik,"College Road, Nashik",20.0085095413,73.7557653710
Ghoomar Traditional Thali Restaurant,4.3,"Rajasthani, North Indian, Desserts, Beverages","₹1,000 for two",Patna,"Khajpura, Patna",25.6049839027,85.0852725420
Biryani By Bihari's,4.2,"Biryani, North Indian, Mughlai",₹500 for two,Patna,"Kankarbagh, Patna",25.5876000000,85.1585000000
Afraa,4.5,"Bengali, Continental, North Indian, Chinese, Asian, Biryani, Pizza, Desserts","₹1,500 for two",Patna,"Lodipur, Patna",25.6178215836,85.1353358577
